Attraction,Address,Price,Weekday Hours,Weekend Hours
Belvedere-Schlossgarten,"Prinz Eugen-Straße 27, 1030 Wien",Free,"6:30 AM/7:00 AM - Dusk (varies by season)","6:30 AM/7:00 AM - Dusk (varies by season)"
The Vienna Naschmarkt,"Naschmarkt 673, 1060 Wien",Free,"Food stalls 6:00 AM - 7:30 PM/9:00 PM","Sat 6:00 AM - 6:00 PM (stalls) + flea market, Sun Closed"
Vienna Museum of Science & Technology,"Mariahilfer Str. 212, 1140 Wien",€18.00,"Mon-Fri 09:00 - 18:00","Sat-Sun 10:00 - 18:00"
House of Music,"Seilerstätte 30, 1010 Wien",€19.00,"Daily 10:00 - 22:00","Daily 10:00 - 22:00"
Natural History Museum,"Burgring 7, 1010 Wien",€18.00,"Thu-Mon 09:00 - 18:30 (Wed till 21:00), Tue Closed","Sat-Sun 09:00 - 18:30"
Vienna State Opera,"Opernring 2, 1010 Wien",Varies,"Varies (must book guided tour in advance)","Varies (must book guided tour in advance)"
Upper Belvedere (Klimt),"Prinz Eugen-Straße 27, 1030 Wien",€19.50,"Daily 09:00 - 18:00","Daily 09:00 - 18:00"
Aida Cafe Vienna,"Multiple locations, e.g., Singerstraße 1, 1010 Wien",Menu dependent,"Daily 08:00 - 23:00 (varies by location)","Daily 08:00 - 23:00 (varies by location)"
Children's Museum (Schönbrunn Palace),"Schönbrunner Schloßstraße 47, 1130 Wien",€8.50,"Daily 10:00 - 17:00","Daily 10:00 - 17:00"
Prater (amusement park),"Riesenradplatz 2, 1020 Wien",Free entry (rides pay per ride)","Park 24/7; Rides typically 10:00 - 23:30 (in season)","Park 24/7; Rides typically 10:00 - 23:30 (in season)"
ZOOM Kindermuseum,"Museumsplatz 1, 1070 Wien","€5.00 - €7.00","Tue-Fri 08:30 - 16:00 (sessions), Mon Closed","Sat-Sun 09:45 - 16:00 (sessions)"
Vorgartenmarkt,"Vorgartenmarkt, 1020 Wien",Free,"Mon-Fri 09:00 - 18:00 (stalls)","Sat 08:00 - 13:00 (farmers market), Sun Closed"
Brunnenmarkt,"Brunnengasse, 1160 Wien",Free,"Mon-Fri 06:00 - 18:30/21:00","Sat 06:00 - 18:00, Sun Closed"
Tichy (ice cream),"Reumannplatz 13, 1100 Wien",Menu dependent,"Mid-March to Sep Daily 10:00 - 23:00","Mid-March to Sep Daily 10:00 - 23:00"
Pötzleinsdorfer Schlosspark,"Pötzleinsdorfer Str. 63, 1180 Wien",Free,"Daily dawn to dusk","Daily dawn to dusk"
St. Stephen's Cathedral,"Stephansplatz 3, 1010 Wien","Free (towers/catacombs vary)","Mon-Sat 09:00 - 11:30 & 13:00 - 16:30 for sightseeing","Sun 13:00 - 16:30 (Sat same as weekday)"
Wiener Würstelstand,Multiple locations,Menu dependent,"Varies widely, many open late","Varies widely, many open late"
Café Pavillon (Schönbrunn Palace Park),"Schönbrunner Schloßstraße 47, 1130 Wien",Menu dependent,"Apr-Oct Daily 10:00 - 17:00","Apr-Oct Daily 10:00 - 17:00"
Klimt Villa,"Feldmühlgasse 11, 1130 Wien","€10.00 - €12.00","Wed-Fri 10:00 - 18:00 (Mon-Tue Closed)","Sat-Sun & Holidays 10:00 - 18:00"
Schönbrunn Zoo,"Maxingstraße 13b, 1130 Wien",€29.00,"Daily from 09:00 (closing varies 16:30-18:30)","Daily from 09:00 (closing varies 16:30-18:30)"
Kunsthistorisches Museum Wien,"Maria-Theresien-Platz, 1010 Wien",€21.00,"Tue-Wed & Fri 10:00 - 18:00 (Thu till 21:00), Mon Closed","Sat-Sun 10:00 - 18:00"
Albertina,"Albertinaplatz 1, 1010 Wien",€19.90,"Daily 10:00 - 18:00 (Wed/Fri till 21:00)","Daily 10:00 - 18:00"
Wien Museum Karlsplatz,"Karlsplatz 8, 1040 Wien",Free,"Tue-Fri 09:00 - 18:00, Mon Closed","Sat-Sun 09:00 - 18:00"
Karlsplatz,1040 Vienna,Free,"24/7 public space","24/7 public space"
Die Glasfabrik,"Felberstraße 3, 1150 Wien",Varies (Shop),"Tue 10:00 - 19:00, Wed-Fri 12:00 - 19:00, Mon Closed","Sat 10:00 - 17:00, Sun Closed"
Mythos Mozart,"Kärntner Str. 19, 1010 Wien",€23.00,"Daily 10:00 - 20:00","Daily 10:00 - 20:00"
Danube Park,"Arbeiterstrandbadstraße 122, 1220 Wien",Free,"24/7 public park","24/7 public park"
Votivkirche Light of creation,"Rooseveltplatz, 1090 Wien",Free,"Specific evening showtimes (book in advance)","Specific evening showtimes (book in advance)"
Spittelberg Neighborhood,"Spittelberggasse, 1070 Wien",Free,"24/7 public space (shops vary)","24/7 public space (shops vary)"
Danube Tower,"Donauturmplatz 1, 1220 Wien",€19.90,"Daily 10:00 - 22:30","Daily 10:00 - 22:30"
Lainzer Tiergarten,"Hermesstraße, 1130 Wien",Free,"Daily 08:00 - sunset (varies by season)","Daily 08:00 - sunset (varies by season)"
Hermes Villa,"Lainzer Tiergarten, 1130 Wien",€8.00,"Tue-Sun 10:00 - 18:00 (in season), Mon Closed","Sat-Sun 10:00 - 18:00 (in season)"
Figmuller restaurant/cafe,"Bäckerstraße 6, 1010 Wien",Menu dependent,"Daily 11:30 - 23:30 (Bäckerstraße) / 11:00 - 22:30 (Wollzeile)","Daily 11:30 - 23:30 (Bäckerstraße) / 11:00 - 22:30 (Wollzeile)"
Heuriger,"Grinzing, 1190 Wien",Menu dependent,"Varies by tavern (typically evenings)","Varies by tavern (typically afternoons/evenings)"
Gerstner Cafe,"Kärntner Str. 51, 1010 Wien",Menu dependent,"Daily 08:00 - 20:00 (Café-Bar till 22:00)","Daily 08:00 - 20:00 (Café-Bar till 22:00)"
Time Travel Magic Vienna History Tour,"Habsburgergasse 10a, 1010 Wien",€23.00,"Daily 10:00 - 20:00 (tour every 20 min; last admission 19:00)","Daily 10:00 - 20:00 (tour every 20 min; last admission 19:00)"
Retro Gaming Museum,"Fritz-Grünbaum-Platz 1, 1060 Wien",€12.90,"Daily 10:00 - 19:00","Daily 10:00 - 19:00"
Museum of Illusion,"Wallnerstraße 4, 1010 Wien",€19.00,"Mon-Fri 10:00 - 18:00 (varies by season)","Sat-Sun 10:00 - 19:00 (varies by season)"
