Attraction,Address,Price,Weekday Hours,Weekend Hours,Latitude,Longitude
Belvedere-Schlossgarten,"Prinz Eugen-Straße 27, 1030 Wien",Free,6:30 AM/7:00 AM - Dusk (varies by season),6:30 AM/7:00 AM - Dusk (varies by season),48.1912243,16.3798261
The Vienna Naschmarkt,"Naschmarkt 673, 1060 Wien",Free,Food stalls 6:00 AM - 7:30 PM/9:00 PM,"Sat 6:00 AM - 6:00 PM (stalls) + flea market, Sun Closed",48.1985094,16.3630743
Vienna Museum of Science & Technology,"Mariahilfer Str. 212, 1140 Wien",€18.00,Mon-Fri 09:00 - 18:00,Sat-Sun 10:00 - 18:00,48.1909208,16.3180346
House of Music,"Seilerstätte 30, 1010 Wien",€19.00,Daily 10:00 - 22:00,Daily 10:00 - 22:00,48.2038496,16.3730813
Natural History Museum,"Burgring 7, 1010 Wien",€18.00,"Thu-Mon 09:00 - 18:30 (Wed till 21:00), Tue Closed",Sat-Sun 09:00 - 18:30,48.2052692,16.3597554
Vienna State Opera,"Opernring 2, 1010 Wien",Varies,Varies (must book guided tour in advance),Varies (must book guided tour in advance),48.2032864,16.3691936
Upper Belvedere (Klimt),"Prinz Eugen-Straße 27, 1030 Wien",€19.50,Daily 09:00 - 18:00,Daily 09:00 - 18:00,48.1912243,16.3798261
Aida Cafe Vienna,"Multiple locations, e.g., Singerstraße 1, 1010 Wien",Menu dependent,Daily 08:00 - 23:00 (varies by location),Daily 08:00 - 23:00 (varies by location),,
Children's Museum (Schönbrunn Palace),"Schönbrunner Schloßstraße 47, 1130 Wien",€8.50,Daily 10:00 - 17:00,Daily 10:00 - 17:00,48.1849894,16.3115684
Prater (amusement park),1020 Vienna,Free entry (rides pay per ride),Park 24/7; Rides typically 10:00 - 23:30 (in season),Park 24/7; Rides typically 10:00 - 23:30 (in season),48.2036379,16.4232516
ZOOM Kindermuseum,"Museumsplatz 1, 1070 Wien",€5.00 - €7.00,"Tue-Fri 08:30 - 16:00 (sessions), Mon Closed",Sat-Sun 09:45 - 16:00 (sessions),48.2025896,16.3590667
Vorgartenmarkt,"Vorgartenmarkt, 1020 Wien",Free,Mon-Fri 09:00 - 18:00 (stalls),"Sat 08:00 - 13:00 (farmers market), Sun Closed",48.2217094,16.4020247
Brunnenmarkt,"Brunnengasse, 1160 Wien",Free,Mon-Fri 06:00 - 18:30/21:00,"Sat 06:00 - 18:00, Sun Closed",48.2094974,16.3355727
Tichy (ice cream),"Reumannplatz 13, 1100 Wien",Menu dependent,Mid-March to Sep Daily 10:00 - 23:00,Mid-March to Sep Daily 10:00 - 23:00,48.1739485,16.3773424
Pötzleinsdorfer Schlosspark,"Pötzleinsdorfer Str. 63, 1180 Wien",Free,Daily dawn to dusk,Daily dawn to dusk,48.2399375,16.3145221
St. Stephen's Cathedral,"Stephansplatz 3, 1010 Wien",Free (towers/catacombs vary),Mon-Sat 09:00 - 11:30 & 13:00 - 16:30 for sightseeing,Sun 13:00 - 16:30 (Sat same as weekday),48.2084923,16.3731269
Wiener Würstelstand,Multiple locations,Menu dependent,"Varies widely, many open late","Varies widely, many open late",,
Café Pavillon (Schönbrunn Palace Park),"Schönbrunner Schloßstraße 47, 1130 Wien",Menu dependent,Apr-Oct Daily 10:00 - 17:00,Apr-Oct Daily 10:00 - 17:00,48.1849894,16.3115684
Klimt Villa,"Feldmühlgasse 11, 1130 Wien",€10.00 - €12.00,Wed-Fri 10:00 - 18:00 (Mon-Tue Closed),Sat-Sun & Holidays 10:00 - 18:00,48.1885565,16.283058
Schönbrunn Zoo,"Maxingstraße 13b, 1130 Wien",€29.00,Daily from 09:00 (closing varies 16:30-18:30),Daily from 09:00 (closing varies 16:30-18:30),48.1817341,16.3047717
Kunsthistorisches Museum Wien,"Maria-Theresien-Platz, 1010 Wien",€21.00,"Tue-Wed & Fri 10:00 - 18:00 (Thu till 21:00), Mon Closed",Sat-Sun 10:00 - 18:00,48.2045084,16.3619764
Albertina,"Albertinaplatz 1, 1010 Wien",€19.90,Daily 10:00 - 18:00 (Wed/Fri till 21:00),Daily 10:00 - 18:00,48.2046365,16.3682605
Wien Museum Karlsplatz,"Karlsplatz 8, 1040 Wien",Free,"Tue-Fri 09:00 - 18:00, Mon Closed",Sat-Sun 09:00 - 18:00,48.1992128,16.3730689
Karlsplatz,1040 Vienna,Free,24/7 public space,24/7 public space,48.1925686,16.3703751
Die Glasfabrik,"Felberstraße 3, 1150 Wien",Varies (Shop),"Tue 10:00 - 19:00, Wed-Fri 12:00 - 19:00, Mon Closed","Sat 10:00 - 17:00, Sun Closed",48.1971239,16.3346484
Mythos Mozart,"Kärntner Str. 19, 1010 Wien",€23.00,Daily 10:00 - 20:00,Daily 10:00 - 20:00,48.2064057,16.3721214
Danube Park,"Arbeiterstrandbadstraße 122, 1220 Wien",Free,24/7 public park,24/7 public park,48.2384337,16.4167954
Votivkirche Light of creation,"Rooseveltplatz, 1090 Wien",€22.00,Specific evening showtimes (book in advance),Specific evening showtimes (book in advance),48.2151699,16.3581169
Spittelberg Neighborhood,"Spittelberggasse, 1070 Wien",Free,24/7 public space (shops vary),24/7 public space (shops vary),48.2028094,16.3554319
Danube Tower,"Donauturmplatz 1, 1220 Wien",€19.90,Daily 10:00 - 22:30,Daily 10:00 - 22:30,48.2404081,16.4100395
Lainzer Tiergarten,"Hermesstraße, 1130 Wien",Free,Daily 08:00 - sunset (varies by season),Daily 08:00 - sunset (varies by season),48.1667595,16.2570196
Hermes Villa,"Lainzer Tiergarten, 1130 Wien",€8.00,"Tue-Sun 10:00 - 18:00 (in season), Mon Closed",Sat-Sun 10:00 - 18:00 (in season),48.1984232,16.2528858
Figmuller restaurant/cafe,"Bäckerstraße 6, 1010 Wien",Menu dependent,Daily 11:30 - 23:30 (Bäckerstraße) / 11:00 - 22:30 (Wollzeile),Daily 11:30 - 23:30 (Bäckerstraße) / 11:00 - 22:30 (Wollzeile),48.2092738,16.3755597
Heuriger,"Grinzing, 1190 Wien",Menu dependent,Varies by tavern (typically evenings),Varies by tavern (typically afternoons/evenings),48.2563022,16.3406235
Gerstner Cafe,"Kärntner Str. 51, 1010 Wien",Menu dependent,Daily 08:00 - 20:00 (Café-Bar till 22:00),Daily 08:00 - 20:00 (Café-Bar till 22:00),48.2032902,16.3703308
